time,avg_stress_xx,disp_x_left,disp_x_mid,disp_x_right
0,0,0,0,0
2e-05,-21987.582754186,3.141083250598e-06,1.8635766208045e-61,2.21128670878e-116
4e-05,-43953.466317312,6.2790666167588e-06,8.9521495387619e-59,2.1200717353584e-113
6e-05,-65875.972912897,9.4108532732709e-06,2.1113251201611e-56,-2.8192483702985e-98
8e-05,-87733.467572494,1.2533352510356e-05,3.2588486289834e-54,1.273359642933e-96
0.0001,-109504.37948688,1.5643482783841e-05,3.7019926103501e-52,-2.8774842549935e-95
0.00012,-131167.22329397,1.8738174756281e-05,3.3004071898608e-50,4.3736183741669e-94
0.00014,-152700.62028232,2.1814374326045e-05,2.4045775657873e-48,-5.2077075019039e-93
0.00016,-174083.31948949,2.4869045641355e-05,1.4720764005346e-46,5.5601032446346e-92
0.00018,-195294.21867423,2.7899174096319e-05,7.7274860972615e-45,-5.8592322426259e-91
0.0002,-216312.385142,3.0901769305999e-05,3.5321372751714e-43,6.0866430114364e-90
0.00022,-237117.07640303,3.3873868057575e-05,1.4228311329939e-41,-5.7954433049032e-89
0.00024,-257687.76064281,3.6812537234687e-05,5.1000484296645e-40,4.7029277162789e-88
0.00026,-278004.1369846,3.9714876712085e-05,1.6395402034598e-38,-3.0076272768965e-87
0.00028,-298046.155524,4.2578022217714e-05,4.75810465922e-37,1.4101357866802e-86
0.0003,-317794.03711593,4.5399148159418e-05,1.2534046780973e-35,5.6031300943047e-86
0.00032,-337228.2928943,4.8175470413472e-05,3.0110079842187e-34,2.6857185551244e-84
0.00034,-356329.7435053,5.0904249072186e-05,6.6224528367791e-33,1.8077584625404e-82
0.00036,-375079.53803516,5.358279114788e-05,1.3381116167011e-31,8.2506958129633e-81
0.00038,-393459.17261384,5.6208453230549e-05,2.491203972011e-30,3.7598266651243e-79
0.0004,-411450.50867619,5.8778644096598e-05,4.2842480098046e-29,1.5869441271956e-77
0.00042,-429035.79086259,6.1290827266085e-05,6.8209619150147e-28,6.3075413500457e-76
0.00044,-446197.66454148,6.3742523505925e-05,1.0072835097106e-26,2.3612190675819e-74
0.00046,-462919.1929363,6.6131313276614e-05,1.3820065335937e-25,8.3460690734762e-73
0.00048,-479183.87384017,6.8454839120024e-05,1.7641623886479e-24,2.7907688784147e-71
0.0005,-494975.65590163,7.0710807985947e-05,2.0978092351951e-23,8.843808377686e-70
0.00052,-510278.95446548,7.2896993495068e-05,2.3261669365256e-22,2.6603155296253e-68
0.00054,-525078.66695299,7.5011238136141e-05,2.4073446743841e-21,7.6076538913537e-67
0.00056,-539360.18776642,7.7051455395203e-05,2.3268346144085e-20,2.0710182384138e-65
0.00058,-553109.42270306,7.9015631814722e-05,2.1016810578723e-19,5.3737411252749e-64
0.0006,-566312.80286452,8.0901828980646e-05,1.7747080463862e-18,1.3305475108145e-62
0.00062,-578957.29804772,8.2708185435389e-05,1.4014383778844e-17,3.1470772731018e-61
0.00064,-591030.42960415,8.4432918514878e-05,1.0350987056653e-16,7.1176294076265e-60
0.00066,-602520.28275484,8.6074326107834e-05,7.1510672006135e-16,1.5406715972192e-58
0.00068,-613415.5183489,8.7630788335557e-05,4.6207207965372e-15,3.1944664682169e-57
0.0007,-623705.38405391,8.9100769150558e-05,2.7919958339054e-14,6.3495132939395e-56
0.00072,-633379.72496723,9.0482817852462e-05,1.5770660259178e-13,1.2107439948249e-54
0.00074,-642428.99363775,9.1775570519678e-05,8.3238713747515e-13,2.2162946386985e-53
0.00076,-650844.25948804,9.2977751355434e-05,4.1029490810591e-12,3.8970746016703e-52
0.00078,-658617.21762787,9.4088173946837e-05,1.8873790937801e-11,6.5862701314385e-51
0.0008,-665740.19705011,9.5105742435729e-05,8.0956187998683e-11,1.0704481276127e-49
0.00082,-672206.16820117,9.6029452600166e-05,3.2347366229325e-10,1.6739249806543e-48
0.00084,-678008.74991833,9.6858392845475e-05,1.2026105490001e-09,2.5197302712378e-47
0.00086,-683142.21572721,9.7591745103886e-05,4.1546120006782e-09,3.6526547472818e-46
