time,avg_T,max_T,max_V
0,0,0,0
0.25,301.53977873903,301.86533444269,9.9471687836487
0.5,303.07938958705,303.72703469731,9.9471687836487
0.75,304.61883316426,305.58512017977,9.9471687836487
1,306.15811008637,307.4396101447,9.9471687836487
1.25,307.69722096455,309.2905236991,9.9471687836487
1.5,309.23616640546,311.13787980366,9.9471687836487
1.75,310.77494701129,312.98169727412,9.9471687836487
2,312.31356337985,314.82199478262,9.9471687836487
2.25,313.85201610455,316.658790859,9.9471687836487
2.5,315.39030577446,318.49210389211,9.9471687836487
2.75,316.92843297436,320.32195213109,9.9471687836487
3,318.46639828478,322.14835368666,9.9471687836487
3.25,320.00420228202,323.97132653239,9.9471687836487
3.5,321.54184553822,325.79088850594,9.9471687836487
3.75,323.07932862136,327.6070573103,9.9471687836487
4,324.61665209532,329.41985051503,9.9471687836487
4.25,326.15381651993,331.22928555746,9.9471687836487
4.5,327.69082245096,333.03537974389,9.9471687836487
4.75,329.22767044021,334.83815025081,9.9471687836487
5,330.76436103553,336.63761412602,9.9471687836487
