time,avg_T,max_T,p_inlet_avg,p_outlet_avg
0,0,0,0,0
100,300.88974514477,339.77944634613,1100000,1000000
200,300.94694702086,340.11856321523,1100000,1000000
300,301.00511481118,340.45215949186,1100000,1000000
400,301.06423240752,340.78013259856,1100000,1000000
500,301.1242832472,341.10238697252,1100000,1000000
600,301.1852505138,341.41883507707,1100000,1000000
700,301.24711716043,341.72939732272,1100000,1000000
800,301.30986593244,342.03400197723,1100000,1000000
900,301.37347938993,342.33258506637,1100000,1000000
1000,301.43793992989,342.62509026588,1100000,1000000
1100,301.50322980802,342.91146878492,1100000,1000000
1200,301.56933116019,343.19167924157,1100000,1000000
1300,301.6362260235,343.46568753054,1100000,1000000
1400,301.70389635697,343.73346668386,1100000,1000000
1500,301.77232406178,343.99499672455,1100000,1000000
1600,301.84149100106,344.25026451406,1100000,1000000
1700,301.91137901926,344.49926359366,1100000,1000000
1800,301.98196996101,344.74199402021,1100000,1000000
1900,302.0532456895,344.97846219691,1100000,1000000
2000,302.12518810433,345.20868069912,1100000,1000000
2100,302.19777915894,345.43266809601,1100000,1000000
2200,302.27100087734,345.65044876814,1100000,1000000
2300,302.3448353705,345.86205272155,1100000,1000000
2400,302.41926485201,346.06751539869,1100000,1000000
2500,302.49427165335,346.26687748658,1100000,1000000
2600,302.56983823844,346.46018472257,1100000,1000000
2700,302.64594721776,346.64748769815,1100000,1000000
2800,302.72258136177,346.82884166102,1100000,1000000
2900,302.79972361391,347.00430631599,1100000,1000000
3000,302.87735710283,347.17394562482,1100000,1000000
3100,302.95546515419,347.33782760563,1100000,1000000
3200,303.03403130184,347.4960241319,1100000,1000000
3300,303.11303929837,347.64861073168,1100000,1000000
3400,303.19247312511,347.79566638711,1100000,1000000
3500,303.27231700158,347.93727333468,1100000,1000000
3600,303.35255539434,348.07351686646,1100000,1000000
3700,303.43317302524,348.20448513264,1100000,1000000
3800,303.51415487916,348.33026894565,1100000,1000000
3900,303.59548621113,348.45096158602,1100000,1000000
4000,303.67715255294,348.56665861046,1100000,1000000
4100,303.7591397192,348.67745766215,1100000,1000000
4200,303.84143381277,348.78345828365,1100000,1000000
4300,303.92402122983,348.88476173258,1100000,1000000
4400,304.00688866423,348.98147080032,1100000,1000000
4500,304.09002311148,349.07368963385,1100000,1000000
4600,304.17341187211,349.16152356105,1100000,1000000
4700,304.25704255466,349.2450789195,1100000,1000000
4800,304.34090307806,349.32446288904,1100000,1000000
4900,304.42498167365,349.3997833282,1100000,1000000
5000,304.50926688662,349.47114861468,1100000,1000000
