time,max_rho,max_rho_u,min_rho,total_mass,total_rho_E
0,0,0,0,0,0
0.0005,1,0.046456533007894,0.125,0.5625,1.375
0.001,1,0.085346696013287,0.125,0.5625,1.375
0.0015,1,0.11795666879068,0.125,0.5625,1.375
0.002,1,0.14541591254622,0.125,0.5625,1.375
0.0025,1,0.16864123138508,0.125,0.5625,1.375
0.003,1,0.19132977418657,0.125,0.5625,1.375
0.0035,1,0.21303005873101,0.125,0.5625,1.375
0.004,1,0.23209280992386,0.125,0.5625,1.375
0.0045,1,0.24876244353745,0.125,0.5625,1.375
0.005,1,0.26328895807296,0.125,0.5625,1.375
0.0055,1,0.2759151848368,0.125,0.5625,1.375
0.006,1,0.28686957797181,0.125,0.5625,1.375
0.0065,1,0.29636422398908,0.125,0.5625,1.375
0.007,1,0.30459787792691,0.125,0.5625,1.375
0.0075,1,0.31175144386965,0.125,0.5625,1.375
0.008,1,0.31797781581175,0.125,0.5625,1.375
0.0085,1,0.32340589566259,0.125,0.5625,1.375
0.009,1,0.32814838445257,0.125,0.5625,1.375
0.0095,1,0.33230326440162,0.125,0.5625,1.375
0.01,1,0.33595530492473,0.125,0.5625,1.375
0.0105,1,0.3391775309202,0.125,0.5625,1.375
0.011,1,0.34203261371744,0.125,0.5625,1.375
0.0115,1,0.34457416112122,0.125,0.5625,1.375
0.012,1,0.34684789255876,0.125,0.5625,1.375
0.0125,1,0.34889269822292,0.125,0.5625,1.375
0.013,1,0.35074159092653,0.125,0.5625,1.375
0.0135,1,0.35242253886054,0.125,0.5625,1.375
0.014,1,0.35395919678498,0.125,0.5625,1.375
0.0145,1,0.35537154351742,0.125,0.5625,1.375
0.015,1,0.35667643461281,0.125,0.5625,1.375
0.0155,1,0.35788807917401,0.125,0.5625,1.375
0.016,1,0.35901844942903,0.125,0.5625,1.375
0.0165,1,0.36007763119338,0.125,0.5625,1.375
0.017,1,0.36107412273606,0.125,0.5625,1.375
0.0175,1,0.36201508888333,0.125,0.5625,1.375
0.018,1,0.36290657638713,0.125,0.5625,1.375
0.0185,1,0.36375369599756,0.125,0.5625,1.375
0.019,1,0.36456077601193,0.125,0.5625,1.375
0.0195,1,0.36533149147335,0.125,0.5625,1.375
0.02,1,0.36606897264663,0.125,0.5625,1.375
0.0205,1,0.36677589590932,0.125,0.5625,1.375
0.021,1,0.36745455976039,0.125,0.5625,1.375
0.0215,1,0.36810694826431,0.125,0.5625,1.375
0.022,1,0.36873478391128,0.125,0.5625,1.375
0.0225,1,0.36933957158164,0.125,0.5625,1.375
0.023,1,0.3699226350487,0.125,0.5625,1.375
0.0235,1,0.37048514985206,0.125,0.5625,1.375
0.024,1,0.37102816577579,0.125,0.5625,1.375
0.0245,1,0.37155262687823,0.125,0.5625,1.375
0.025,1,0.37205938869285,0.125,0.5625,1.375
0.0255,1,0.37254923236571,0.125,0.5625,1.375
0.026,1,0.37302287628033,0.125,0.5625,1.375
0.0265,1,0.37348098560325,0.125,0.5625,1.375
0.027,1,0.37392418011247,0.125,0.5625,1.375
0.0275,1,0.3743530406103,0.125,0.5625,1.375
0.028,1,0.37476811417169,0.125,0.5625,1.375
0.0285,1,0.37516991843673,0.125,0.5625,1.375
0.029,1,0.37555894512004,0.125,0.5625,1.375
0.0295,1,0.37593566288051,0.125,0.5625,1.375
0.03,1,0.37642981857018,0.125,0.5625,1.375
0.0305,1,0.37690921744351,0.125,0.5625,1.375
0.031,1,0.37736927646251,0.125,0.5625,1.375
0.0315,1,0.37781097763766,0.125,0.5625,1.375
0.032,1,0.37823523302647,0.125,0.5625,1.375
0.0325,1,0.37864289206653,0.125,0.5625,1.375
0.033,1,0.37903474796009,0.125,0.5625,1.375
0.0335,1,0.37941154323924,0.125,0.5625,1.375
0.034,1,0.37977397462338,0.125,0.5625,1.375
0.0345,1,0.38012269726589,0.125,0.5625,1.375
0.035,1,0.38045832847325,0.125,0.5625,1.375
0.0355,1,0.38078145096901,0.125,0.5625,1.375
0.036,1,0.38109261576477,0.125,0.5625,1.375
0.0365,1,0.38139234469169,0.125,0.5625,1.375
0.037,1,0.38168113263893,0.125,0.5625,1.375
0.0375,1,0.38195944953869,0.125,0.5625,1.375
0.038,1,0.38222774213214,0.125,0.5625,1.375
0.0385,1,0.38248643554572,0.125,0.5625,1.375
0.039,1,0.38273593470302,0.125,0.5625,1.375
0.0395,1,0.38297662559417,0.125,0.5625,1.375
0.04,1,0.38320887642144,0.125,0.5625,1.375
0.0405,1,0.3834330386369,0.125,0.5625,1.375
0.041,1,0.38364944788639,0.125,0.5625,1.375
0.0415,1,0.3838584248712,0.125,0.5625,1.375
0.042,1,0.38406027613806,0.125,0.5625,1.375
0.0425,1,0.38425529480599,0.125,0.5625,1.375
0.043,1,0.38444376123762,0.125,0.5625,1.375
0.0435,1,0.38462594366151,0.125,0.5625,1.375
0.044,1,0.384802098751,0.125,0.5625,1.375
0.0445,1,0.3849724721644,0.125,0.5625,1.375
0.045,1,0.38513729905077,0.125,0.5625,1.375
0.0455,1,0.38529680452477,0.125,0.5625,1.375
0.046,1,0.38545120411364,0.125,0.5625,1.375
0.0465,1,0.38560070417913,0.125,0.5625,1.375
0.047,1,0.38574550231663,0.125,0.5625,1.375
0.0475,1,0.38588578773343,0.125,0.5625,1.375
0.048,1,0.38602174160799,0.125,0.5625,1.375
0.0485,1,0.38615353743172,0.125,0.5625,1.375
0.049,1,0.38628134133449,0.125,0.5625,1.375
0.0495,1,0.38640531239528,0.125,0.5625,1.375
0.05,1,0.38652560293872,0.125,0.5625,1.375
0.0505,1,0.38664235881867,0.125,0.5625,1.375
0.051,1,0.3867557196895,0.125,0.5625,1.375
0.0515,1,0.38686581926585,0.125,0.5625,1.375
0.052,1,0.38697278557152,0.125,0.5625,1.375
0.0525,1,0.38707674117806,0.125,0.5625,1.375
0.053,1,0.38717780343355,0.125,0.5625,1.375
0.0535,1,0.38727608468208,0.125,0.5625,1.375
0.054,1,0.38737169247441,0.125,0.5625,1.375
0.0545,1,0.38746472977008,0.125,0.5625,1.375
0.055,1,0.38755529513148,0.125,0.5625,1.375
0.0555,1,0.38764348291011,0.125,0.5625,1.375
0.056,1,0.38772938342545,0.125,0.5625,1.375
0.0565,1,0.38781308313661,0.125,0.5625,1.375
0.057,1,0.38789466480717,0.125,0.5625,1.375
0.0575,1,0.38797420766337,0.125,0.5625,1.375
0.058,1,0.38805178754601,0.125,0.5625,1.375
0.0585,1,0.38812747705617,0.125,0.5625,1.375
0.059,1,0.38820134569506,0.125,0.5625,1.375
0.0595,1,0.38827345999822,0.125,0.5625,1.375
0.06,1,0.38834388366422,0.125,0.5625,1.375
0.0605,1,0.38841267767814,0.125,0.5625,1.375
0.061,1,0.38847990042995,0.125,0.5625,1.375
0.0615,1,0.38854560782797,0.125,0.5625,1.375
0.062,1,0.38860985340774,0.125,0.5625,1.375
0.0625,1,0.38867268843623,0.125,0.5625,1.375
0.063,1,0.38873416201175,0.125,0.5625,1.375
0.0635,1,0.38879432115966,0.125,0.5625,1.375
0.064,1,0.38885321092398,0.125,0.5625,1.375
0.0645,1,0.38891087445601,0.125,0.5625,1.375
0.065,1,0.38896735309825,0.125,0.5625,1.375
0.0655,1,0.3890226864639,0.125,0.5625,1.375
0.066,1,0.38907691251389,0.125,0.5625,1.375
0.0665,1,0.38913006763042,0.125,0.5625,1.375
0.067,1,0.38918218668746,0.125,0.5625,1.375
0.0675,1,0.38923330311807,0.125,0.5625,1.375
0.068,1,0.38928636955229,0.125,0.5625,1.375
0.0685,1,0.38934779286268,0.125,0.5625,1.375
0.069,1,0.3894077161063,0.125,0.5625,1.375
0.0695,1,0.38946619392324,0.125,0.5625,1.375
0.07,1,0.38952327863826,0.125,0.5625,1.375
0.0705,1,0.38957902036239,0.125,0.5625,1.375
0.071,1,0.38963346709007,0.125,0.5625,1.375
0.0715,1,0.38968666479226,0.125,0.5625,1.375
0.072,1,0.38973865750547,0.125,0.5625,1.375
0.0725,1,0.38978948741699,0.125,0.5625,1.375
0.073,1,0.38983919494647,0.125,0.5625,1.375
0.0735,1,0.38988781882391,0.125,0.5625,1.375
0.074,1,0.38993539616434,0.125,0.5625,1.375
0.0745,1,0.38998196253916,0.125,0.5625,1.375
0.075,1,0.39002755204444,0.125,0.5625,1.375
0.0755,1,0.3900721973662,0.125,0.5625,1.375
0.076,1,0.39011592984282,0.125,0.5625,1.375
0.0765,1,0.39015877952472,0.125,0.5625,1.375
0.077,1,0.39020077523136,0.125,0.5625,1.375
0.0775,1,0.39024194460579,0.125,0.5625,1.375
0.078,1,0.39028231416671,0.125,0.5625,1.375
0.0785,1,0.39032190935829,0.125,0.5625,1.375
0.079,1,0.39036075459767,0.125,0.5625,1.375
0.0795,1,0.39039887332046,0.125,0.5625,1.375
0.08,1,0.39043628802411,0.125,0.5625,1.375
0.0805,1,0.39047302030935,0.125,0.5625,1.375
0.081,1,0.39050909091983,0.125,0.5625,1.375
0.0815,1,0.3905445197799,0.125,0.5625,1.375
0.082,1,0.39057932603076,0.125,0.5625,1.375
0.0825,1,0.39061352806487,0.125,0.5625,1.375
0.083,1,0.39064714355895,0.125,0.5625,1.375
0.0835,1,0.39068018950536,0.125,0.5625,1.375
0.084,1,0.39071268224213,0.125,0.5625,1.375
0.0845,1,0.39074463748159,0.125,0.5625,1.375
0.085,1,0.39077607033773,0.125,0.5625,1.375
0.0855,1,0.39080699535228,0.125,0.5625,1.375
0.086,1,0.39083742651964,0.125,0.5625,1.375
0.0865,1,0.39086737731063,0.125,0.5625,1.375
0.087,1,0.39089686069521,0.125,0.5625,1.375
0.0875,1,0.39092588916413,0.125,0.5625,1.375
0.088,1,0.3909544747496,0.125,0.5625,1.375
0.0885,1,0.39098262904499,0.125,0.5625,1.375
0.089,1,0.3910103632237,0.125,0.5625,1.375
0.0895,1,0.39103768805707,0.125,0.5625,1.375
0.09,1,0.39106461393158,0.125,0.5625,1.375
0.0905,1,0.39109115086517,0.125,0.5625,1.375
0.091,1,0.39111730852288,0.125,0.5625,1.375
0.0915,1,0.39114309623173,0.125,0.5625,1.375
0.092,1,0.39116852299495,0.125,0.5625,1.375
0.0925,1,0.39119359750556,0.125,0.5625,1.375
0.093,1,0.39121832815933,0.125,0.5625,1.375
0.0935,1,0.3912427230671,0.125,0.5625,1.375
0.094,1,0.39126679006665,0.125,0.5625,1.375
0.0945,1,0.39129053673391,0.125,0.5625,1.375
0.095,1,0.39131397039374,0.125,0.5625,1.375
0.0955,1,0.39133709813019,0.125,0.5625,1.375
0.096,1,0.39135992679629,0.125,0.5625,1.375
0.0965,1,0.39138246302345,0.125,0.5625,1.375
0.097,1,0.39140471323033,0.125,0.5625,1.375
0.0975,1,0.39142668363143,0.125,0.5625,1.375
0.098,1,0.39144838024521,0.125,0.5625,1.375
0.0985,1,0.39146980890189,0.125,0.5625,1.375
0.099,1,0.39149097525086,0.125,0.5625,1.375
0.0995,1,0.39151188476781,0.125,0.5625,1.375
0.1,1,0.39153254276151,0.125,0.5625,1.375
0.1005,1,0.39155295438027,0.125,0.5625,1.375
0.101,1,0.39157312461817,0.125,0.5625,1.375
0.1015,1,0.39159305832096,0.125,0.5625,1.375
0.102,1,0.39161276019171,0.125,0.5625,1.375
0.1025,1,0.39163223479627,0.125,0.5625,1.375
0.103,1,0.39165148656838,0.125,0.5625,1.375
0.1035,1,0.39167051981467,0.125,0.5625,1.375
0.104,1,0.39168933871936,0.125,0.5625,1.375
0.1045,1,0.39170794734881,0.125,0.5625,1.375
0.105,1,0.39172634965581,0.125,0.5625,1.375
0.1055,1,0.39174454948379,0.125,0.5625,1.375
0.106,1,0.39176255057072,0.125,0.5625,1.375
0.1065,1,0.39178035655296,0.125,0.5625,1.375
0.107,1,0.39179797096883,0.125,0.5625,1.375
0.1075,1,0.39181539726217,0.125,0.5625,1.375
0.108,1,0.39183263878561,0.125,0.5625,1.375
0.1085,1,0.39184969880378,0.125,0.5625,1.375
0.109,1,0.39186658049638,0.125,0.5625,1.375
