time,avg_creep_strain_yy,avg_elastic_strain_yy,avg_stress_yy,max_disp_y,max_vonmises
0,0,0,0,0,0
10,0.0037622891310189,3.6214492951027e-05,9975475.2431113,0.0077649416981886,7402169.6041051
20,0.0060413015114239,3.4098391067095e-05,9955193.4708472,0.012347729838451,6542802.5252993
30,0.0076086400758471,3.2743622733727e-05,9938755.7598869,0.015463359818369,5963154.5660857
40,0.0087702911168131,3.1759946990076e-05,9925208.8606754,0.01775527904601,5536272.0433486
50,0.0096757067648813,3.1000737754911e-05,9913835.2368957,0.019532518237853,5204352.6654579
60,0.010407417790722,3.0390581056449e-05,9904120.1330127,0.020963537037665,4936279.7282094
70,0.011015082107161,2.9885609111169e-05,9895696.4253223,0.022148730502388,4713637.6227782
80,0.011530552696151,2.9458226093777e-05,9888298.2979196,0.023152028883905,4524713.4730798
90,0.011975302903138,2.9090058129894e-05,9881729.474537,0.024016283843763,4361642.6728783
100,0.012364396121134,2.8768321624797e-05,9875841.549434,0.024771417813746,4218920.2429351
