id,phi1,phi2,x,y,z
0,0,0,0,0.25,0
0.5,1.033215592097,0.25057455564018,0.5,0.25,0
1,2.0648380406396,0.50076274348051,1,0.25,0
1.5,3.093276658584,0.75017879146286,1.5,0.25,0
2,4.1169456681232,0.99843811811748,2,0.25,0
2.5,5.1342666458418,1.2451579255604,2.5,0.25,0
3,6.1436709565293,1.4899577897319,3,0.25,0
3.5,7.1436021719014,1.7324602469851,3.5,0.25,0
4,8.1325184705001,1.9722913761079,4,0.25,0
4.5,9.1088950150702,2.2090813748818,4.5,0.25,0
5,10.071226303748,2.4424651302911,5,0.25,0
5.5,11.018028491438,2.6720827815007,5.5,0.25,0
6,11.947841677789,2.897580274735,6,0.25,0
6.5,12.859232158263,3.1186099092036,6.5,0.25,0
7,13.750794634794,3.3348308732305,7,0.25,0
7.5,14.621154382667,3.5459097697611,7.5,0.25,0
8,15.468969370233,3.7515211304362,8,0.25,0
8.5,16.292932328231,3.9513479174406,8.5,0.25,0
9,17.091772765503,4.1450820123524,9,0.25,0
9.5,17.864258927994,4.3324246912396,9.5,0.25,0
10,18.609199698034,4.51308708527,10,0.25,0
10.5,19.325446430948,4.6867906261268,10.5,0.25,0
11,20.01189472619,4.8532674755402,11,0.25,0
11.5,20.667486130244,5.012260938275,11.5,0.25,0
12,21.291209768683,5.1635258579355,12,0.25,0
12.5,21.882103904867,5.3068289949796,12.5,0.25,0
13,22.439257422866,5.4419493863567,13,0.25,0
13.5,22.961811232339,5.5686786862168,13.5,0.25,0
14,23.448959593189,5.6868214871653,14,0.25,0
14.5,23.899951357953,5.796195621566,14.5,0.25,0
15,24.314091130019,5.8966324424314,15,0.25,0
15.5,24.690740335876,5.9879770834635,15.5,0.25,0
16,25.029318209748,6.0700886978468,16,0.25,0
16.5,25.329302689097,6.1428406754238,16.5,0.25,0
17,25.590231219597,6.2061208379181,17,0.25,0
17.5,25.811701468368,6.2598316119064,17.5,0.25,0
18,25.99337194434,6.3038901792683,18,0.25,0
18.5,26.134962524806,6.3382286048868,18.5,0.25,0
19,26.236254887355,6.3627939413989,19,0.25,0
19.5,26.297092846506,6.3775483108366,19.5,0.25,0
20,26.317382594537,6.3824689630321,20,0.25,0
20.5,26.297092846128,6.3775483106969,20.5,0.25,0
21,26.2362548866,6.3627939411204,21,0.25,0
21.5,26.134962523681,6.338228604472,21.5,0.25,0
22,25.993371942852,6.3038901787204,22,0.25,0
22.5,25.811701466528,6.2598316112297,22.5,0.25,0
23,25.590231217416,6.2061208371182,23,0.25,0
23.5,25.329302686591,6.1428406745068,23.5,0.25,0
24,25.029318206936,6.0700886968201,24,0.25,0
24.5,24.690740332775,5.9879770823349,24.5,0.25,0
25,24.314091126651,5.8966324412096,25,0.25,0
25.5,23.899951354341,5.7961956202604,25.5,0.25,0
26,23.448959589357,5.6868214857855,26,0.25,0
26.5,22.961811228312,5.5686786847732,26.5,0.25,0
27,22.43925741867,5.4419493848595,27,0.25,0
27.5,21.882103900531,5.3068289934395,27.5,0.25,0
28,21.291209764235,5.1635258563632,28,0.25,0
28.5,20.667486125712,5.012260936681,28.5,0.25,0
29,20.011894721604,4.8532674739354,29,0.25,0
29.5,19.325446426335,4.6867906245214,29.5,0.25,0
30,18.609199693424,4.5130870836742,30,0.25,0
30.5,17.864258923416,4.3324246896632,30.5,0.25,0
31,17.091772760984,4.145082010805,31,0.25,0
31.5,16.292932323799,3.951347915931,31.5,0.25,0
32,15.468969365913,3.7515211289729,32,0.25,0
32.5,14.621154378485,3.5459097683523,32.5,0.25,0
33,13.750794630775,3.3348308718835,33,0.25,0
33.5,12.859232154429,3.1186099079253,33.5,0.25,0
34,11.947841674163,2.8975802735318,34,0.25,0
34.5,11.01802848804,2.6720827803784,34.5,0.25,0
35,10.071226300597,2.4424651292549,35,0.25,0
35.5,9.1088950121829,2.2090813739363,35.5,0.25,0
36,8.1325184678926,1.9722913752573,36,0.25,0
36.5,7.1436021695878,1.7324602462331,36.5,0.25,0
37,6.1436709545221,1.4899577890816,37,0.25,0
37.5,5.1342666441516,1.2451579250143,37.5,0.25,0
38,4.116945666759,0.99843811767791,38,0.25,0
38.5,3.0932766575535,0.75017879113163,38.5,0.25,0
39,2.0648380399493,0.50076274325902,39,0.25,0
39.5,1.0332155917512,0.25057455552904,39.5,0.25,0
40,0,0,40,0.25,0
