id,phi,x,y,z
0,0,0,0.25,0
0.2,0.70142378275916,0.2,0.25,0
0.4,1.401661519289,0.4,0.25,0
0.6,2.0995291688577,0.6,0.25,0
0.8,2.7938466983464,0.8,0.25,0
1,3.4834400775748,1,0.25,0
1.2,4.1671432644894,1.2,0.25,0
1.4,4.8438001768359,1.4,0.25,0
1.6,5.5122666469933,1.6,0.25,0
1.8,6.1714123566629,1.8,0.25,0
2,6.8201227481352,2,0.25,0
2.2,7.4573009089113,2.2,0.25,0
2.4,8.0818694264844,2.4,0.25,0
2.6,8.6927722101517,2.6,0.25,0
2.8,9.2889762767694,2.8,0.25,0
3,9.8694734974387,3,0.25,0
3.2,10.433282302162,3.2,0.25,0
3.4,10.979449339593,3.4,0.25,0
3.6,11.507051089071,3.6,0.25,0
3.8,12.015195422209,3.8,0.25,0
4,12.503023111412,4,0.25,0
4.2,12.969709282751,4.2,0.25,0
4.4,13.414464810751,4.4,0.25,0
4.6,13.836537652738,4.6,0.25,0
4.8,14.235214120474,4.8,0.25,0
5,14.609820086944,5,0.25,0
5.2,14.959722126241,5.2,0.25,0
5.4,15.28432858464,5.4,0.25,0
5.6,15.583090581026,5.6,0.25,0
5.8,15.855502935012,5.8,0.25,0
6,16.101105021146,6,0.25,0
6.2,16.319481547796,6.2,0.25,0
6.4,16.510263259366,6.4,0.25,0
6.6,16.673127560678,6.6,0.25,0
6.8,16.807799062452,6.8,0.25,0
7,16.914050046966,7,0.25,0
7.2,16.991700853102,7.2,0.25,0
7.4,17.040620180145,7.4,0.25,0
7.6,17.060725309792,7.6,0.25,0
7.8,17.05198224603,7.8,0.25,0
8,17.014405772615,8,0.25,0
8.2,16.965052592445,8.2,0.25,0
8.4,16.920935280901,8.4,0.25,0
8.6,16.882040222204,8.6,0.25,0
8.8,16.848355412297,8.8,0.25,0
9,16.819870455149,9,0.25,0
9.2,16.796576559542,9.2,0.25,0
9.4,16.778466536356,9.4,0.25,0
9.6,16.765534796354,9.6,0.25,0
9.8,16.757777348457,9.8,0.25,0
10,16.755191798508,10,0.25,0
10.2,16.757777348537,10.2,0.25,0
10.4,16.765534796514,10.4,0.25,0
10.6,16.778466536596,10.6,0.25,0
10.8,16.796576559861,10.8,0.25,0
11,16.819870455547,11,0.25,0
11.2,16.848355412773,11.2,0.25,0
11.4,16.882040222757,11.4,0.25,0
11.6,16.920935281531,11.6,0.25,0
11.8,16.96505259315,11.8,0.25,0
12,17.014405773394,12,0.25,0
12.2,17.051982246881,12.2,0.25,0
12.4,17.060725310711,12.4,0.25,0
12.6,17.04062018113,12.6,0.25,0
12.8,16.991700854149,12.8,0.25,0
13,16.91405004807,13,0.25,0
13.2,16.80779906361,13.2,0.25,0
13.4,16.673127561884,13.4,0.25,0
13.6,16.510263260616,13.6,0.25,0
13.8,16.319481549085,13.8,0.25,0
14,16.10110502247,14,0.25,0
14.2,15.855502936365,14.2,0.25,0
14.4,15.583090582402,14.4,0.25,0
14.6,15.284328586034,14.6,0.25,0
14.8,14.959722127648,14.8,0.25,0
15,14.609820088358,15,0.25,0
15.2,14.235214121889,15.2,0.25,0
15.4,13.836537654148,15.4,0.25,0
15.6,13.414464812151,15.6,0.25,0
15.8,12.969709284135,15.8,0.25,0
16,12.503023112775,16,0.25,0
16.2,12.015195423544,16.2,0.25,0
16.4,11.507051090373,16.4,0.25,0
16.6,10.979449340857,16.6,0.25,0
16.8,10.433282303382,16.8,0.25,0
17,9.86947349861,17,0.25,0
17.2,9.288976277887,17.2,0.25,0
17.4,8.6927722112109,17.4,0.25,0
17.6,8.0818694274808,17.6,0.25,0
17.8,7.4573009098405,17.8,0.25,0
18,6.8201227489934,18,0.25,0
18.2,6.1714123574464,18.2,0.25,0
18.4,5.5122666476982,18.4,0.25,0
18.6,4.8438001774591,18.6,0.25,0
18.8,4.1671432650292,18.8,0.25,0
19,3.4834400780289,19,0.25,0
19.2,2.7938466987131,19.2,0.25,0
19.4,2.0995291691353,19.4,0.25,0
19.6,1.4016615194754,19.6,0.25,0
19.8,0.70142378285314,19.8,0.25,0
20,3.1149473349729e-15,20,0.25,0
