time,p_10m,p_1m,p_50m,p_avg,p_well
0,0,0,0,0,0
10,9991050.8007963,9948608.0518491,9999925.0594925,9999575.8255879,9900000
20,9985621.1801616,9943612.6968758,9999723.3177906,9999197.0640163,9900000
30,9982369.2878302,9941580.3275286,9999400.7977371,9998837.6058182,9900000
40,9980184.5176755,9940348.2100741,9998993.1434259,9998491.9801403,9900000
50,9978577.5458465,9939477.6984712,9998537.9649978,9998158.8601602,9900000
60,9977321.0108596,9938810.7817074,9998063.9102265,9997838.3334788,9900000
70,9976296.384988,9938273.5273941,9997589.7955817,9997530.9456857,9900000
80,9975435.4215513,9937825.6923496,9997126.9564198,9997237.2742909,9900000
90,9974695.6920014,9937443.0842142,9996681.7671512,9996957.7414501,9900000
100,9974049.2249879,9937110.1022943,9996257.51558,9996692.5509344,9900000
110,9973476.720284,9936816.1478282,9995855.6285115,9996441.6888048,9900000
120,9972964.3690539,9936553.7242096,9995476.4296917,9996204.9530795,9900000
130,9972501.99393,9936317.3551515,9995119.5977282,9995981.9930509,9900000
140,9972081.9037254,9936102.9316901,9994784.4409519,9995772.3483146,9900000
150,9971698.1576738,9935907.2990448,9994470.0628308,9995575.4830718,9900000
160,9971346.0760021,9935727.9850421,9994175.4622327,9995390.8142819,9900000
170,9971021.9049639,9935563.0159656,9993899.5947024,9995217.7337388,9900000
180,9970722.5822195,9935410.78851,9993641.4101411,9995055.6247987,9900000
190,9970445.5693878,9935269.9789187,9993399.8759831,9994903.8746819,9900000
200,9970188.7306899,9935139.4774341,9993173.9913049,9994761.8832551,9900000
210,9969950.2438706,9935018.3403609,9992962.7951669,9994629.0690866,9900000
220,9969728.5340953,9934905.7546051,9992765.3712285,9994504.8734307,9900000
230,9969522.2244181,9934801.0111733,9992580.8499281,9994388.7626664,9900000
240,9969330.0983279,9934703.4851852,9992408.4090582,9994280.2295963,9900000
250,9969151.0711755,9934612.6206608,9992247.2732867,9994178.7939204,9900000
260,9968984.1681751,9934527.918836,9992096.7129885,9994084.0021212,9900000
270,9968828.5073056,9934448.929104,9991956.0426397,9993995.4269372,9900000
280,9968683.2858842,9934375.2419201,9991824.6189448,9993912.6665572,9900000
290,9968547.7699068,9934306.4831838,9991701.8388165,9993835.3436332,9900000
300,9968421.285485,9934242.30974,9991587.1372888,9993763.1041826,9900000
310,9968303.211883,9934182.4057311,9991479.9854233,9993695.616432,9900000
320,9968192.9757815,9934126.4796017,9991379.8882442,9993632.5696394,9900000
330,9968090.0464907,9934074.2616063,9991286.3827302,9993573.6729212,9900000
340,9967993.9319043,9934025.50171,9991199.0358794,9993518.6541019,9900000
350,9967904.1750353,9933979.9677954,9991117.4428586,9993467.2585997,9900000
360,9967820.3510194,9933937.4441163,9991041.2252434,9993419.2483564,9900000
370,9967742.064477,9933897.7299414,9990970.0293401,9993374.4008091,9900000
380,9967668.9472002,9933860.6383642,9990903.5246167,9993332.5079229,9900000
390,9967600.6560755,9933825.9952397,9990841.4022127,9993293.375268,9900000
400,9967536.8712191,9933793.6382304,9990783.3735394,9993256.8211503,9900000
410,9967477.2942884,9933763.4159436,9990729.1689659,9993222.6757919,9900000
420,9967421.646946,9933735.1871477,9990678.5365851,9993190.7805612,9900000
430,9967369.6694532,9933708.8200555,9990631.2410581,9993160.9872489,9900000
440,9967321.1193802,9933684.1916675,9990587.062531,9993133.1573899,9900000
450,9967275.7704161,9933661.1871661,9990545.7956208,9993107.1616272,9900000
460,9967233.4112715,9933639.699358,9990507.2484667,9993082.8791158,9900000
470,9967193.8446608,9933619.6281563,9990471.2418426,9993060.1969657,9900000
480,9967156.8863597,9933600.8801024,9990437.608327,9993039.00972,9900000
490,9967122.3643294,9933583.3679204,9990406.1915272,9993019.2188665,9900000
500,9967090.1179025,9933567.0101043,9990376.8453535,9993000.732382,9900000
