time,p_0p5m,p_1p0m,p_1p5m,p_avg,p_base
0,0,0,0,0,0
60,-49999.484447692,-49997.879834508,-47788.056156339,-43137.962708175,-49320.281519985
120,-49997.387390326,-49982.252631849,-41041.860530958,-40783.372915103,-48975.977208395
180,-49992.47965835,-49920.715255008,-31823.089865848,-38939.514647272,-48720.063326118
240,-49983.639493931,-49748.486126601,-23641.224509116,-37349.491984817,-48507.571084272
300,-49969.769701907,-49364.662773474,-17655.456114321,-35919.364252633,-48322.083672817
360,-49949.407737776,-48642.495224442,-13531.103297028,-34602.048764379,-48155.449947588
420,-49920.156008263,-47456.089450996,-10690.849453901,-33369.889674131,-48002.909717352
480,-49878.048541311,-45718.240022383,-8691.6924700893,-32204.985387141,-47861.365996327
540,-49816.949335821,-43414.902834666,-7244.0284661212,-31094.963670329,-47728.614971575
600,-49728.066268159,-40618.662655577,-6165.2704182377,-30030.865476827,-47602.937264108
660,-49599.658254054,-37472.764666309,-5339.7772843772,-29005.977309107,-47482.842866518
720,-49417.007057779,-34153.865129909,-4692.8777566184,-28015.137666845,-47366.885475453
780,-49162.715320408,-30831.935184361,-4175.1720264455,-27054.299739484,-47253.508902612
840,-48817.375419815,-27642.626889284,-3753.1490424962,-26120.241446263,-47140.908903569
900,-48360.624902451,-24676.780792274,-3403.5191767364,-25210.364814961,-47026.903993754
960,-47772.559286169,-21983.166950381,-3109.7256726783,-24322.552257382,-46908.814401192
1020,-47035.412034588,-19577.816953029,-2859.7497448487,-23455.060878419,-46783.351607287
1080,-46135.342157171,-17454.650673391,-2644.6983009962,-22606.443488925,-46646.523047457
1140,-45064.108835772,-15594.571660144,-2457.8751655829,-21775.489326184,-46493.558042094
1200,-43820.382092514,-13972.13401484,-2294.1574547207,-20961.180054082,-46318.862185376
1260,-42410.458812851,-12559.920323992,-2149.5685954992,-20162.658163454,-46116.008324524
1320,-40848.231724279,-11331.147921261,-2020.9806136425,-19379.205813312,-45877.772844058
1380,-39154.382641625,-10261.051018098,-1905.9030112282,-18610.232652914,-45596.226013483
1440,-37354.909379578,-9327.483120482,-1802.3306793227,-17855.271356835,-45262.884331648
1500,-35479.209645194,-8511.0571261353,-1708.6327292301,-17113.979562133,-44868.930712034
1560,-33558.004389047,-7795.032428601,-1623.4701262919,-16386.146679149,-44405.504628629
1620,-31621.376659921,-7165.07914067,-1545.7338917549,-15671.703714172,-43864.058756023
1680,-29697.140868581,-6608.9961761007,-1474.4981911663,-14970.733937151,-43236.771258214
1740,-27809.666685927,-6116.4257659016,-1408.9843333095,-14283.481822526,-42516.994215308
1800,-25979.189063093,-5678.5863228304,-1348.5328600343,-13610.357743097,-41699.709757432
1860,-24221.56219782,-5288.0332327205,-1292.5817023019,-12951.935919643,-40781.957826279
1920,-22548.36972888,-4938.4503488945,-1240.6489314854,-12308.943655098,-39763.19492227
1980,-20967.285888527,-4624.4713304484,-1192.3190254255,-11682.240680401,-38645.543438661
2040,-19482.586113644,-4341.5282333514,-1147.2318472986,-11072.788518183,-37433.897354048
2100,-18095.72217095,-4085.7241021792,-1105.0737362694,-10481.6109896,-36135.862196928
2160,-16805.898553601,-3853.7262274041,-1065.5702553177,-9909.7481647347,-34761.524016409
2220,-15610.608359772,-3642.67694046,-1028.4802493826,-9358.2069882134,-33323.061060993
2280,-14506.105048155,-3450.1191523754,-993.59094700403,-8827.9123308193,-31834.229724773
2340,-13487.800240789,-3273.9342117059,-960.71389860811,-8319.662230967,-30309.769873057
2400,-12550.587178039,-3112.2900171353,-929.6815898936,-7834.0906021976,-28764.781597444
2460,-11689.095209085,-2963.5976475569,-900.34460327948,-7371.6397957374,-27214.124913721
2520,-10897.88371277,-2826.4750595276,-872.56922684354,-6932.5442902413,-25671.886620576
2580,-10171.584939221,-2699.7166478483,-846.23543063608,-6516.8256278417,-24150.946449689
2640,-9505.0051459319,-2582.2676724094,-821.23514616315,-6124.2976998938,-22662.660351975
2700,-8893.1925995469,-2473.2027276261,-797.47079728989,-5754.5807278471,-21216.664819232
2760,-8331.4798910089,-2371.7075744486,-774.85404062586,-5407.1218385116,-19820.794488475
2820,-7815.5068006418,-2277.0637735886,-753.30468122698,-5081.2199908631,-18481.097023332
2880,-7341.228788558,-2188.6356563346,-732.74973563948,-4776.0531208802,-17201.924676593
2940,-6904.915145591,-2105.8592496981,-713.12261926821,-4490.7056559891,-15986.080623282
3000,-6503.1399491795,-2028.2328386737,-694.36243903943,-4224.1949323579,-14834.999348451
3060,-6132.7682301158,-1955.3089026534,-676.41337555019,-3975.4954578505,-13748.943189389
3120,-5790.9391586694,-1886.6872076277,-659.22414151119,-3743.5603500219,-12727.200746821
3180,-5475.0475847215,-1822.0088724664,-642.74750541859,-3527.3396104175,-11768.276645909
3240,-5182.724896667,-1760.9512577436,-626.93987112908,-3325.7951588639,-10870.065605177
3300,-4911.8198790664,-1703.2235504074,-611.76090543481,-3137.9127424001,-10030.006712375
3360,-4660.3800323653,-1648.5629380655,-597.17320690051,-2962.7109592156,-9245.2161149024
3420,-4426.6336548199,-1596.7312835136,-583.14201017828,-2799.2477089804,-8512.5980177147
3480,-4208.9728648787,-1547.5122240206,-569.63492079209,-2646.6244091777,-7828.9350132468
3540,-4005.937651643,-1500.7086312882,-556.62167601138,-2503.9883137502,-7190.9594429948
3600,-3816.2009735151,-1456.1403773279,-544.07392792948,-2370.5332451455,-6595.4078099833
