time,a_avg,a_mid,b_avg,b_mid,mineral_avg,mineral_mid
0,0,0,0,0,0,0
5,0.00079385177569492,1.7446452776873e-05,0.00079385177445739,1.7446459238367e-05,0,0
10,0.0011874663368138,7.3318991400154e-05,0.0011874663361128,7.3318987148634e-05,0,0
15,0.0014833917729014,0.00017639506301045,0.0014833917724695,0.00017639506047318,0,0
20,0.001729908719316,0.00032235212408727,0.0017299087190063,0.0003223521227843,0,0
25,0.0019452435159902,0.00050019887421137,0.0019452435157368,0.00050019887345721,0,0
30,0.0021384025950233,0.00069799603520369,0.0021384025947983,0.00069799603468673,0,0
35,0.0023145261701736,0.00090570511804659,0.0023145261699661,0.00090570511764159,0,0
40,0.0024768218221888,0.0011159159943633,0.002476821821994,0.0011159159940219,3.1850795125487e-09,1.2263425304745e-08
45,0.0026274213380993,0.0013235965742663,0.0026274213379158,0.001323596573958,1.8296289666381e-08,4.9858819854814e-08
50,0.0027678254981444,0.0015255544254748,0.0027678254979712,0.0015255544251916,4.9919353348482e-08,1.162246350875e-07
