time,ca_plus,caco3_s_val,calcite_vf,co2_aq_val,co3_val,h_plus,hco3_minus,oh_val,ph_val
0,1e-05,0.05,0,0,0,1e-06,1e-05,0,0
10,1.0645647383954e-05,0.049999354347043,1.8466761534537e-06,2.159689234271e-05,5.9864728683034e-10,8.7470200581192e-07,1.1164290820449e-05,1.1562184030416e-08,6.0581398775765
20,1.1291293247523e-05,0.049998708694497,1.8466523069226e-06,2.1056708332732e-05,7.5134814267201e-10,7.7094719417289e-07,1.2349968485098e-05,1.3118233829e-08,6.1129753678177
30,1.1936937340303e-05,0.049998063042461,1.8466284604103e-06,2.0499881637288e-05,9.2933482163035e-10,6.8397396616756e-07,1.3552261774513e-05,1.4786331151811e-08,6.1649604283456
40,1.2582579377161e-05,0.049997417391046,1.8466046139209e-06,1.9929969917656e-05,1.135046895282e-09,6.1023402496472e-07,1.476761032803e-05,1.657309351696e-08,6.214503580957
50,1.3228219033192e-05,0.049996771740384,1.8465807674593e-06,1.9349652960502e-05,1.3712122623035e-09,5.4705909912426e-07,1.5993331322656e-05,1.8486970748062e-08,6.2619657540375
60,1.3873855937719e-05,0.049996126090624,1.8465569210311e-06,1.8760973175822e-05,1.6409035319435e-09,4.9242053578681e-07,1.7227378917225e-05,2.0538269279959e-08,6.3076638436511
70,1.4519489667172e-05,0.049995480441939,1.8465330746426e-06,1.8165507248938e-05,1.9476024703326e-09,4.4475783385725e-07,1.8468172531216e-05,2.2739263466728e-08,6.3518763936184
80,1.516511974928e-05,0.049994834794528,1.8465092283011e-06,1.7564531851539e-05,2.2952714073757e-09,4.0285732641637e-07,1.9714479384859e-05,2.51043357035e-08,6.3948487338115
90,1.5810745616798e-05,0.049994189148618,1.846485382015e-06,1.6958971811523e-05,2.6884570682102e-09,3.6576168238444e-07,2.0965311137982e-05,2.7650423896348e-08,6.4368017936673
100,1.6456366629318e-05,0.049993543504471,1.8464615357941e-06,1.6349616144608e-05,3.1323889651175e-09,3.3271006389395e-07,2.2219875594281e-05,3.0397233689315e-08,6.4779340622887
