time,Amp_x02,Amp_x04,Amp_x06,E_energy,E_peak,Ey_slab,Ey_source,Ey_x01,Ey_x02,Ey_x03,Ey_x05,Ey_x06,Ey_x07
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e-11,0,5.336607584554e-121,1.3268244523745e-71,3.0084368232492e-12,9.8735271270094e-09,-3.7735514115008e-121,9.6814148818926e-09,8.0928149045836e-198,-2.2090915590087e-167,9.177759986837e-139,-4.341867956439e-103,9.3820665633999e-72,-3.4118823283686e-41
2e-11,0,2.0046886828893e-118,9.668886903429e-70,7.5090252598785e-12,1.9420416232145e-08,-1.4175289619078e-118,1.836440813914e-08,-3.5735697183957e-196,5.3385621472867e-166,9.0261697757066e-137,2.6987937376072e-100,6.8369302142536e-70,4.5385286133228e-40
3e-11,0,9.4378536384014e-117,4.138068984476e-68,1.4244409626419e-11,3.0353907869671e-08,6.6735703108756e-117,2.703343248155e-08,2.1219847493644e-194,-6.3032884416736e-165,-9.571928309439e-135,-3.798918162031e-99,-2.9260403144277e-68,-2.4755310911864e-39
4e-11,0,4.9104761169926e-115,1.5731071383167e-66,2.1640907524882e-11,3.9948454994758e-08,-3.4722309719812e-115,3.1622702748822e-08,-6.2121327330901e-193,1.375584189494e-163,5.9854139648002e-133,3.5706831969936e-97,1.1123209241416e-66,4.2620133815761e-38
5e-11,3.1434555694053e-162,2.3483082630518e-113,3.4539165045174e-65,2.9315277973588e-11,5.1496545014446e-08,1.6605047234874e-113,3.3826940732154e-08,1.9367339671275e-191,-1.7366034112178e-162,-3.228732492823e-131,-1.2708780938827e-95,-2.4417695268932e-65,-1.4596714827972e-35
6e-11,1.2949358292924e-160,9.9675206408601e-112,6.1634943310623e-64,3.6996683149508e-11,6.7869153249305e-08,-7.0481019443008e-112,3.4822999654198e-08,-8.3303384252248e-190,9.1557561982008e-161,1.5536894837886e-129,4.9310330614232e-94,4.3520370226319e-64,9.9141309241917e-34
7e-11,4.0923059156409e-159,3.2710972146629e-110,6.1481159201419e-63,4.3256817914135e-11,8.8995963582095e-08,2.3130158266928e-110,3.1050059973822e-08,4.9474533012513e-189,-2.8936973171004e-159,-6.2175552244836e-128,-1.1388774159878e-92,-4.2863447812593e-63,-4.4396052882678e-32
8e-11,3.9232234890465e-157,1.0696474175138e-108,6.5620308181683e-62,4.6152965410233e-11,1.1610896986895e-07,-7.5635602047993e-109,1.9276427418382e-08,-1.0682035285281e-186,2.7741379298298e-157,2.206302832167e-126,4.5446741074614e-91,-5.1085816468385e-62,1.5228389461752e-30
9e-11,7.1752371709148e-155,6.5377393222847e-107,9.4159694950005e-61,4.306080597268e-11,1.5129618136733e-07,4.6228922709308e-107,-3.3065197702902e-09,1.6072643826446e-184,-5.073658854673e-155,-9.9461387257298e-125,-4.4524771846213e-89,-2.2461703731315e-61,-4.2136263759229e-29
1e-10,2.4838538214066e-153,3.0328860716506e-105,1.9968865680488e-58,3.0443902971548e-11,1.9676126402732e-07,-2.1445869301501e-105,-4.0406489779289e-08,-7.0276341278187e-183,1.7563498727898e-153,4.8875867222169e-123,1.3285362218361e-87,-1.6047021835384e-58,9.6537348026552e-28
1.1e-10,2.8928212555924e-151,1.0296862038849e-103,9.2377497534314e-57,3.2227817578369e-12,2.5538683179825e-07,7.2810944072111e-104,-9.8304060579357e-08,2.4875065735412e-181,2.04553353647e-151,-2.0340862513481e-121,-3.4364742007377e-86,7.538952331335e-57,-1.835176134306e-26
1.2e-10,7.0982773603442e-150,2.3235220941636e-102,3.3265537367703e-55,-4.45566551461e-11,3.3071256147075e-07,-1.6430695390112e-102,-1.8195128310749e-07,-1.5162158794121e-179,-5.0192401688527e-150,6.4959780272959e-120,2.3084210086247e-85,-2.809520040771e-55,2.9197360146252e-25
1.3e-10,8.5884279291899e-148,4.7666539710003e-101,5.9384747242286e-54,-1.2032621993612e-10,4.2727555040577e-07,3.3711965659808e-101,-2.9730474799108e-07,-2.9913878223357e-177,6.0729357448207e-148,-1.6884860256362e-118,-1.0054881904532e-83,5.7525559719437e-54,-3.9088919923078e-24
1.4e-10,2.6655097482427e-146,2.1908587529361e-100,2.8018982443317e-52,-2.3246989854904e-10,5.5059112677706e-07,-1.5535397181847e-100,-4.496063046654e-07,-1.3287365522112e-176,-1.8848001279676e-146,3.3169794515984e-117,-6.9377045160805e-82,-2.6107435374833e-52,4.4806418395848e-23
1.5e-10,6.5341926093544e-145,3.4654554292901e-98,8.1899824172233e-51,-3.9039735160264e-10,7.0850112957165e-07,-2.4478105370983e-98,-6.4389657598883e-07,1.3716774097651e-174,4.6203728528252e-145,-2.2235548393987e-116,2.7722832420964e-80,7.8090945648036e-51,-4.5142102124697e-22
1.6e-10,1.4248746628376e-143,1.7503091599517e-96,2.2477264135336e-49,-6.030938569513e-10,9.0911420674781e-07,1.2361981083741e-96,-8.8063754488801e-07,-4.7998364522702e-173,-1.0075392946677e-143,-1.6843714219031e-114,-7.7428848393758e-79,-2.1767624168886e-49,4.1621554625503e-21
1.7e-10,2.9438784489677e-142,5.4596252081766e-95,5.8021315651586e-48,-8.7881856276134e-10,1.1642447835741e-06,-3.8531105563798e-95,-1.1576331680566e-06,1.2208088857989e-171,2.0816420345321e-142,9.6668193101862e-113,1.7659566184192e-77,5.6689043728275e-48,-3.5832450835088e-20
1.8e-10,6.1201383735576e-141,1.3492594424282e-93,1.3994883782735e-46,-1.2226735445477e-09,1.4874056399261e-06,9.5056773824746e-94,-1.4647851030295e-06,-2.4442669422445e-170,-4.3276301016171e-141,-3.28299415031e-111,-3.4545098532719e-76,-1.3732742025957e-46,2.7474373034062e-19
1.9e-10,1.3772936378437e-139,2.8516707232184e-92,3.1221414499039e-45,-1.6349177756816e-09,1.8966000295854e-06,-2.0010933778241e-92,-1.7836376316153e-06,3.8214717145852e-169,9.7391862933046e-140,8.71991175794e-110,5.8816202947549e-75,3.0696435273171e-45,-1.6310918529739e-18
2e-10,3.102027559176e-138,5.2941520053915e-91,6.3895991840333e-44,-2.1071396702785e-09,2.4122537258648e-06,3.6808851386001e-91,-2.0813087095542e-06,-3.8141732083641e-168,-2.1936149262158e-138,-1.963549389341e-108,-8.4431116833677e-74,-6.2878714792441e-44,5.2190672288035e-18
2.1e-10,6.6420918093495e-137,8.6348217258638e-90,1.1953397088537e-42,-2.6193388728822e-09,3.0619027532079e-06,-5.8657601069111e-90,-2.3108217840779e-06,-1.8530027549981e-167,4.6975168360874e-137,3.8676844776381e-107,8.9107143941037e-73,1.1768735621484e-42,1.3335301967196e-17
