time,avg_phi_a,avg_phi_b,phi_interface
0,0,0,0
0.02,0.19828778596354,0.0015079418596457,0.0044434427017811
0.04,0.29284993620287,0.005690559541874,0.015465157315924
0.06,0.35815485565958,0.012483375171183,0.031758221794451
0.08,0.40692384296701,0.021036670473947,0.050776810865485
0.1,0.44451221831805,0.030352254103548,0.070306156386436
0.12,0.47400709241825,0.039628315725592,0.088906346000299
0.14,0.49743796709255,0.048344716666765,0.10581706689477
0.16,0.51622325376945,0.056224481472649,0.12073946456006
0.18,0.53139009489342,0.063162406548962,0.13364896983978
0.2,0.54370154294779,0.069160200669935,0.14466734805584
0.22,0.5537363007705,0.074278857338003,0.15398372292342
0.24,0.56194092163027,0.078607362312,0.16180886833695
0.26,0.56866499214226,0.082243674565642,0.16835031556606
0.28,0.57418543972109,0.085283984518702,0.17379991278948
0.3,0.57872372538544,0.087817200236447,0.17832858393454
0.32,0.58245828444675,0.089922574870683,0.18208509583592
0.34,0.58553372560589,0.091669131399149,0.1851969373668
0.36,0.5880677698279,0.09311605356394,0.18777220637548
0.38,0.59015657749576,0.09431354581118,0.18990187771026
0.4,0.59187890050982,0.09530387468086,0.1916621098491
0.42,0.59329935948387,0.096122432324789,0.19311641455394
0.44,0.59447105691905,0.096798739500933,0.19431761018607
0.46,0.59543767786595,0.097357350144847,0.19530953328882
0.48,0.59623518933393,0.097818644953744,0.19612851201626
0.5,0.59689322183823,0.098199515127566,0.1968046193708
0.52,0.59743619674873,0.098513944280403,0.19736273025657
0.54,0.59788424882604,0.098773499469704,0.19782340777727
0.56,0.59825398277202,0.098987743033215,0.19820364320094
0.58,0.59855909465742,0.09916457650682,0.19851747184838
0.6,0.59881088297425,0.099310526921921,0.19877648455897
0.62,0.59901866929493,0.099430984590481,0.19899025174063
0.64,0.59919014475847,0.099530400267061,0.19916667451951
0.66,0.59933165560431,0.099612448426656,0.19931227526397
0.68,0.59944843856363,0.099680162359155,0.1994324377919
0.7,0.59954481496679,0.099736045870473,0.19953160587999
0.72,0.59962435084034,0.099782165595632,0.19961344725445
0.74,0.59968998897258,0.099820227261165,0.19968098902991
0.76,0.59974415786803,0.09985163867062,0.19973672954551
0.78,0.59978886164265,0.099877561714203,0.19978273069803
0.8,0.59982575419847,0.09989895530888,0.19982069416501
0.82,0.59985620042946,0.099916610846605,0.19985202432366
0.84,0.59988132672803,0.099931181455449,0.19987788018465
0.86,0.59990206266336,0.099943206152037,0.19989921825682
0.88,0.59991917537547,0.099953129776362,0.19991682792533
0.9,0.59993329795838,0.099961319444917,0.19993136065025
0.92,0.59994495288322,0.099968078129902,0.19994335406436
0.94,0.59995457132814,0.099973655866312,0.1999532518612
0.96,0.59996250913044,0.099978259001144,0.19996142020838
0.98,0.59996905995119,0.09998205782671,0.19996816129337
1,0.59997446613951,0.099985192880296,0.19997372450252
1.02,0.59997892769848,0.099987780143162,0.19997831564691
1.04,0.59998260968432,0.099989915331163,0.19998210457619
1.06,0.59998564831275,0.099991677435698,0.1999852314621
1.08,0.59998815599835,0.099993131645963,0.19998781198408
1.1,0.59999022551334,0.099994331760604,0.19998994160883
1.12,0.59999193341976,0.099995322177989,0.19999169912205
1.14,0.59999334290187,0.099996139538726,0.19999314954316
1.16,0.59999450610367,0.099996814081174,0.19999434653068
1.18,0.59999546605799,0.099997370760118,0.19999533436733
1.2,0.59999625827847,0.099997830169969,0.19999614959824
1.22,0.59999691207343,0.099998209306655,0.19999682238299
1.24,0.5999974516301,0.09999852219639,0.19999737761136
