time,H_at_2delta,H_at_3delta,H_at_skin_depth,H_surface,avg_H
0,0,0,0,0,0
0.02,3.7381210014712e-05,6.3973006648672e-07,0.0023353206293133,0.12533323342184,0.0018090294013614
0.04,0.00023199644112891,5.3341817916923e-06,0.0094182703552695,0.24868988688669,0.0044578634411198
0.06,0.00079035945146218,2.3737314848226e-05,0.022320878210177,0.36812455228415,0.0076963282371902
0.08,0.0019681264190843,7.5174499326692e-05,0.040975753041889,0.48175367359839,0.011364983168031
0.1,0.0040199371024157,0.00019051534328379,0.06470892237589,0.58778525171163,0.015337616092619
0.12,0.0071598030454703,0.00041174150594945,0.092594456287088,0.68454710530065,0.019503547476035
0.14,0.011539154929381,0.00078941921735071,0.12362912136685,0.77051324213509,0.023760982779382
0.16,0.017239717850467,0.0013788531449562,0.15680854845807,0.84432792488649,0.028014382477795
0.18,0.024275701164077,0.0022357946709214,0.19115911189789,0.90482705191577,0.032173574643308
0.2,0.032600683038563,0.0034123858127517,0.22575190277442,0.95105651585143,0.036153709419613
0.22,0.042116267201316,0.0049537439618294,0.25971018851323,0.98228725043272,0.039875641205785
0.24,0.052680969059278,0.0068953544555482,0.29221490996886,0.99802672832008,0.043266524042599
0.26,0.06411865101726,0.0092612787235928,0.32250984359361,0.99802672854548,0.046260497503907
0.28,0.076226286962635,0.012063100004456,0.34990685477716,0.98228725110538,0.048799386745661
0.3,0.088781047778158,0.015299494846657,0.37379119923431,0.95105651696074,0.050833365811842
0.32,0.10154677772581,0.018956315255934,0.39362666656504,0.90482705344423,0.052321548454499
0.34,0.11427994495203,0.023007077633175,0.40896032340949,0.84432792681,0.05323248053941
0.36,0.12673513578752,0.02741377086903,0.41942662696287,0.77051324442331,0.053544515024043
0.38,0.1386701406615,0.032127912008027,0.42475071124444,0.68454710791749,0.053246055776906
0.4,0.1498506578198,0.037091791560653,0.424750685428,0.58778525461584,0.052335660834835
0.42,0.16005462296851,0.042239861236264,0.41933882065341,0.48175367674415,0.050821999437651
